Apparence dans les résultats de recherche,Clics,Impressions,CTR,Position
Extraits de produits,1607,141531,1.14%,29.62
Fiches de marchand,61,2922,2.09%,7.33
Extrait d'avis,30,1050,2.86%,7.8
